Game,Home,Away,Home,Away
P01,D1,A1,538,222
P02,D2,A2,515,467
P03,D3,A3,516,-176
P04,D4,A4,548,407
P05,D5,A5,201,509
P06,B1,E1,0,1
P07,B2,E2,486,537
P08,B3,E3,516,355
P09,B4,E4,1,0
P10,B5,E5,508,137
P11,F1,C1,545,117
P12,F2,C2,509,-95
P13,F3,C3,1,0
P14,F4,C4,0,1
P15,F5,C5,0,1
P16,A1,D5,539,227
P17,A2,D1,283,519
P18,A3,D2,528,134
P19,A4,D3,529,462
P20,A5,D4,0,0
P21,E5,B1,0,1
P22,E1,B2,0,1
P23,E2,B3,507,166
P24,E3,B4,532,185
P25,E4,B5,0,1
P26,C1,F5,0,1
P27,C2,F1,1,0
P28,C3,F2,0,1
P29,C4,F3,517,298
P30,C5,F4,527,418
P31,A1,D4,1,0
P32,A2,D5,507,171
P33,A3,D1,341,525
P34,A4,D2,0,1
P35,A5,D3,0,1
P36,E4,B1,0,0
P37,E5,B2,0,1
P38,E1,B3,419,554
P39,E2,B4,508,365
P40,E3,B5,347,545
P41,C1,F4,1,0
P42,C2,F5,0,1
P43,C3,F1,0,1
P44,C4,F2,-119,528
P45,C5,F3,537,112
P46,D3,A1,511,457
P47,D4,A2,516,-28
P48,D5,A3,0,1
P49,D1,A4,285,594
P50,D2,A5,358,506
P51,B1,E3,0,1
P52,B2,E4,1,0
P53,B3,E5,517,484
P54,B4,E1,301,527
P55,B5,E2,507,386
P56,F3,C1,437,559
P57,F4,C2,0,0
P58,F5,C3,1,0
P59,F1,C4,1,0
P60,F2,C5,327,549
1,A1,A2,,
2,A1,A3,,
3,A1,A4,,
4,A1,A5,,
5,A2,A3,,
6,A2,A4,,
7,A2,A5,,
8,A3,A4,,
9,A3,A5,,
10,A4,A5,,
11,B1,B2,,
12,B1,B3,,
13,B1,B4,,
14,B1,B5,,
15,B2,B3,,
16,B2,B4,,
17,B2,B5,,
18,B3,B4,,
19,B3,B5,,
20,B4,B5,,
21,C1,C2,,
22,C1,C3,,
23,C1,C4,,
24,C1,C5,,
25,C2,C3,,
26,C2,C4,,
27,C2,C5,,
28,C3,C4,,
29,C3,C5,,
30,C4,C5,,
31,A2,A1,,
32,A3,A1,,
33,A4,A1,,
34,A5,A1,,
35,A3,A2,,
36,A4,A2,,
37,A5,A2,,
38,A4,A3,,
39,A5,A3,,
40,A5,A4,,
41,B2,B1,,
42,B3,B1,,
43,B4,B1,,
44,B5,B1,,
45,B3,B2,,
46,B4,B2,,
47,B5,B2,,
48,B4,B3,,
49,B5,B3,,
50,B5,B4,,
51,C2,C1,,
52,C3,C1,,
53,C4,C1,,
54,C5,C1,,
55,C3,C2,,
56,C4,C2,,
57,C5,C2,,
58,C4,C3,,
59,C5,C3,,
60,C5,C4,,
61,A1,A2,,
62,A1,A3,,
63,A1,A4,,
64,A1,A5,,
65,A1,B1,,
66,A1,B2,,
67,A1,B3,,
68,A1,B4,,
69,A1,B5,,
70,A1,C1,,
71,A1,C2,,
72,A1,C3,,
73,A1,C4,,
74,A1,C5,,
75,A2,A3,,
76,A2,A4,,
77,A2,A5,,
78,A2,B1,,
79,A2,B2,,
80,A2,B3,,
81,A2,B4,,
82,A2,B5,,
83,A2,C1,,
84,A2,C2,,
85,A2,C3,,
86,A2,C4,,
87,A2,C5,,
88,A3,A4,,
89,A3,A5,,
90,A3,B1,,
91,A3,B2,,
92,A3,B3,,
93,A3,B4,,
94,A3,B5,,
95,A3,C1,,
96,A3,C2,,
97,A3,C3,,
98,A3,C4,,
99,A3,C5,,
100,A4,A5,,
101,A4,B1,,
102,A4,B2,,
103,A4,B3,,
104,A4,B4,,
105,A4,B5,,
106,A4,C1,,
107,A4,C2,,
108,A4,C3,,
109,A4,C4,,
110,A4,C5,,
111,A5,B1,,
112,A5,B2,,
113,A5,B3,,
114,A5,B4,,
115,A5,B5,,
116,A5,C1,,
117,A5,C2,,
118,A5,C3,,
119,A5,C4,,
120,A5,C5,,
121,B1,B2,,
122,B1,B3,,
123,B1,B4,,
124,B1,B5,,
125,B1,C1,,
126,B1,C2,,
127,B1,C3,,
128,B1,C4,,
129,B1,C5,,
130,B2,B3,,
131,B2,B4,,
132,B2,B5,,
133,B2,C1,,
134,B2,C2,,
135,B2,C3,,
136,B2,C4,,
137,B2,C5,,
138,B3,B4,,
139,B3,B5,,
140,B3,C1,,
141,B3,C2,,
142,B3,C3,,
143,B3,C4,,
144,B3,C5,,
145,B4,B5,,
146,B4,C1,,
147,B4,C2,,
148,B4,C3,,
149,B4,C4,,
150,B4,C5,,
151,B5,C1,,
152,B5,C2,,
153,B5,C3,,
154,B5,C4,,
155,B5,C5,,
156,C1,C2,,
157,C1,C3,,
158,C1,C4,,
159,C1,C5,,
160,C2,C3,,
161,C2,C4,,
162,C2,C5,,
163,C3,C4,,
164,C3,C5,,
165,C4,C5,,
166,A2,A1,,
167,A3,A1,,
168,A4,A1,,
169,A5,A1,,
170,B1,A1,,
171,B2,A1,,
172,B3,A1,,
173,B4,A1,,
174,B5,A1,,
175,C1,A1,,
176,C2,A1,,
177,C3,A1,,
178,C4,A1,,
179,C5,A1,,
180,A3,A2,,
181,A4,A2,,
182,A5,A2,,
183,B1,A2,,
184,B2,A2,,
185,B3,A2,,
186,B4,A2,,
187,B5,A2,,
188,C1,A2,,
