Team Name,Division,Conference,Wins,Loss,No Contest,Total Score,Opp Score,Differential,Avg Diff,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Forf Wins,Forf Loss
"",,,,,,,,,,,,,,,,,,,,
G.O.O.D.,,,,,,,,,,,,,,,,,,,,
Detroit 76ers,G.O.O.D.,Western,1,4,0,879,1592,-713,-237.7,1,3,0,1,0,3,1,4,1,1
Tag Em & Bag Em,G.O.O.D.,Western,3,1,0,2009,1532,477,119.3,2,1,1,0,2,0,3,1,0,0
Miller Time,G.O.O.D.,Western,3,1,0,1569,1402,167,55.7,0,1,3,0,1,0,2,1,1,0
Toshiba Auggie,G.O.O.D.,Western,2,2,0,1988,1335,653,163.3,0,1,2,1,1,1,2,2,0,0
The Big Fellas,G.O.O.D.,Western,1,3,0,196,1131,-935,-467.5,1,2,0,1,1,1,1,3,1,1
"",,,,,,,,,,,,,,,,,,,,
CASH MONEY,,,,,,,,,,,,,,,,,,,,
Chaos,Cash Money,Western,1,3,0,0,0,0,n/a,1,2,0,1,0,1,1,3,1,3
Book Masters,Cash Money,Western,1,3,0,1557,1918,-361,-90.3,1,2,0,1,0,1,1,3,0,0
That Couple,Cash Money,Western,2,3,0,1834,2384,-550,-110.0,1,2,1,1,0,2,2,3,0,0
Star Studded,Cash Money,Western,3,1,0,1185,1385,-200,-66.7,3,1,0,0,3,0,3,1,1,0
Hands On Deck,Cash Money,Western,2,2,0,1757,1398,359,89.8,0,0,2,2,1,0,2,1,0,0
"",,,,,,,,,,,,,,,,,,,,
DEATH ROW,,,,,,,,,,,,,,,,,,,,
JQ Suited,Death Row,Western,4,0,0,2122,1089,1033,258.3,3,0,1,0,2,0,4,0,0,0
Kimasha,Death Row,Western,2,1,0,951,944,7,3.5,1,0,1,1,2,0,2,1,1,0
Kingdom Minded,Death Row,Western,0,4,0,202,519,-317,-317.0,0,1,0,3,0,3,0,4,0,3
Blind 7's,Death Row,Western,3,2,0,989,1263,-274,-91.3,1,0,2,2,1,0,3,2,2,0
Dubs,Death Row,Western,4,2,0,2334,1851,483,96.6,3,2,1,0,0,2,4,2,1,0
"",,,,,,,,,,,,,,,,,,,,
BAD BOY,,,,,,,,,,,,,,,,,,,,
Shaolin Stars,Bad Boy,Eastern,3,1,0,1812,795,1017,254.3,1,0,2,1,2,0,3,1,0,0
N.M.O.E.,Bad Boy,Eastern,1,2,0,1326,1427,-101,-33.7,0,0,1,2,1,1,1,2,0,0
Knuck If You Stuck,Bad Boy,Eastern,2,2,0,1252,1447,-195,-65.0,1,1,1,1,1,1,2,2,1,0
Gerow Animals,Bad Boy,Eastern,3,0,0,1078,450,628,314.0,1,0,2,0,1,0,3,0,1,0
Double D's,Bad Boy,Eastern,0,4,0,942,1604,-662,-220.7,0,2,0,2,0,3,0,4,0,1
"",,,,,,,,,,,,,,,,,,,,
STATE PROPERTY,,,,,,,,,,,,,,,,,,,,
PG's Finest,State Property,Eastern,1,3,0,698,968,-270,-135.0,1,1,0,2,0,1,1,2,0,2
Team Bui,State Property,Eastern,4,0,0,2135,912,1223,305.8,1,0,3,0,3,0,4,0,0,0
Yonkers Southside,State Property,Eastern,3,1,0,1001,1154,-153,-51.0,1,0,2,1,1,1,3,1,1,0
Ol Dirty,State Property,Eastern,2,2,0,1604,1766,-162,-40.5,2,1,0,1,0,2,2,2,0,0
Harry Potheads,State Property,Eastern,1,2,0,1201,1327,-126,-42.0,0,1,1,1,1,1,1,2,0,0
"",,,,,,,,,,,,,,,,,,,,
SO SO DEF,,,,,,,,,,,,,,,,,,,,
Florida Oranges,So So Def,Eastern,1,3,0,322,1856,-1534,-383.5,1,3,0,0,1,1,1,3,0,0
Twin N Em,So So Def,Eastern,1,3,0,823,1380,-557,-185.7,0,1,1,2,1,1,1,3,0,1
TNT,So So Def,Eastern,5,0,0,2629,452,2177,435.4,4,0,1,0,4,0,5,0,0,0
Team Robinson,So So Def,Eastern,0,4,0,632,2155,-1523,-380.8,0,2,0,2,0,3,0,4,0,0
A Team,So So Def,Eastern,2,2,0,1678,1269,409,102.3,0,1,2,1,1,2,1,2,0,0
