Team Name,Division,Conference,Wins,Loss,Percentage,Total Score,Opp Score,Margin,Avg Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Forf Wins,Forf Loss,Draw
"",,,,,,,,,,,,,,,,,,,,,
G.O.O.D.,,,,,,,,,,,,,,,,,,,,,
Detroit 76ers,G.O.O.D.,Western,2,4,0.333,1381,1919,-538,-134.5,1,3,1,1,0,3,2,4,1,1,0
Tag Em & Bag Em,G.O.O.D.,Western,5,1,0.833,2521,1850,671,134.2,3,1,2,0,3,0,5,1,1,0,0
Miller Time,G.O.O.D.,Western,3,3,0.5,2728,2532,196,32.7,1,2,2,1,1,2,2,3,0,0,0
Toshiba Auggie,G.O.O.D.,Western,4,3,0.571,3247,2593,654,93.4,2,2,2,1,2,1,4,3,0,0,0
The Big Fellas,G.O.O.D.,Western,2,4,0.333,1098,1928,-830,-207.5,1,2,1,2,2,2,2,4,1,1,0
"",,,,,,,,,,,,,,,,,,,,,
CASH MONEY,,,,,,,,,,,,,,,,,,,,,
Chaos,Cash Money,Western,1,6,0.143,365,506,-141,-141.0,1,3,0,3,0,3,1,5,1,5,0
Book Masters,Cash Money,Western,2,4,0.333,1557,1918,-361,-90.3,1,3,1,1,1,2,2,4,1,1,0
That Couple,Cash Money,Western,3,3,0.5,1834,2384,-550,-110.0,2,2,1,1,1,2,3,3,1,0,0
Star Studded,Cash Money,Western,4,2,0.667,1911,2078,-167,-33.4,3,2,1,0,3,1,4,2,1,0,0
Hands On Deck,Cash Money,Western,5,2,0.714,2831,1804,1027,171.2,2,0,3,2,3,0,5,1,1,0,0
"",,,,,,,,,,,,,,,,,,,,,
DEATH ROW,,,,,,,,,,,,,,,,,,,,,
JQ Suited,Death Row,Western,6,0,1.0,2646,1609,1037,207.4,3,0,3,0,3,0,5,0,1,0,0
Kimasha,Death Row,Western,2,4,0.333,1702,2546,-844,-168.8,1,2,1,2,2,1,2,4,1,0,0
Kingdom Minded,Death Row,Western,0,6,0.0,202,519,-317,-317.0,0,2,0,4,0,4,0,6,0,5,0
Blind 7's,Death Row,Western,4,3,0.571,1756,1979,-223,-44.6,2,0,2,3,2,1,4,3,2,0,0
Dubs,Death Row,Western,6,3,0.667,3692,2967,725,90.6,4,2,2,1,1,2,5,3,1,0,0
"",,,,,,,,,,,,,,,,,,,,,
BAD BOY,,,,,,,,,,,,,,,,,,,,,
Shaolin Stars,Bad Boy,Eastern,4,2,0.667,2845,1404,1441,240.2,1,0,3,2,2,0,4,1,0,0,0
N.M.O.E,Bad Boy,Eastern,2,4,0.333,1852,2487,-635,-127.0,0,0,2,4,1,2,2,4,1,0,0
Knuck If You Stuck,Bad Boy,Eastern,4,2,0.667,2325,2182,143,28.6,2,1,2,1,2,1,4,2,1,0,0
Gerow Animals,Bad Boy,Eastern,5,1,0.833,2511,1683,828,165.6,3,1,2,0,2,0,5,0,1,0,0
Double D's,Bad Boy,Eastern,1,5,0.167,1881,2676,-795,-159.0,1,3,0,2,0,4,1,5,0,1,0
"",,,,,,,,,,,,,,,,,,,,,
STATE PROPERTY,,,,,,,,,,,,,,,,,,,,,
PG's Finest,State Property,Eastern,1,4,0.2,1233,1505,-272,-90.7,1,2,0,2,0,1,1,4,0,2,0
Team Bui,State Property,Eastern,5,0,1.0,2650,983,1667,333.4,1,0,4,0,3,0,5,0,0,0,0
Yonkers Southside,State Property,Eastern,3,2,0.6,1086,1667,-581,-145.3,1,0,2,2,1,1,3,2,1,0,0
Ol Dirty,State Property,Eastern,2,3,0.4,1527,2281,-754,-150.8,2,2,0,1,0,2,2,3,0,0,0
Harry Potheads,State Property,Eastern,2,4,0.333,2171,2911,-740,-123.3,0,2,2,2,1,1,2,3,0,0,0
"",,,,,,,,,,,,,,,,,,,,,
SO SO DEF,,,,,,,,,,,,,,,,,,,,,
Florida Oranges,So So Def,Eastern,2,4,0.333,1031,2725,-1694,-282.3,2,3,0,1,1,2,1,4,0,0,0
Twin N Em,So So Def,Eastern,2,4,0.333,1326,1785,-459,-114.8,0,1,2,3,1,2,2,4,0,2,0
TNT,So So Def,Eastern,6,1,0.857,3204,1170,2034,290.6,4,0,2,1,5,0,6,1,0,0,0
Team Robinson,So So Def,Eastern,3,5,0.375,1985,2732,-747,-106.7,1,3,2,2,1,3,3,5,1,0,0
A Team,So So Def,Eastern,2,4,0.333,2556,2331,225,37.5,0,2,2,2,1,2,1,4,0,0,0
