Team Name,Division,Conference,Wins,Loss,Percent,Avg Margin,Total Score,Opp Score,Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Forf Wins,Forf Loss,Dbl Forf,Draw
"",,,,,,,,,,,,,,,,,,,,,,
G.O.O.D.,,,,,,,,,,,,,,,,,,,,,,
Detroit 76ers,G.O.O.D.,Western,2,6,0.25,-126.5,2168,2927,-759,1,3,1,3,0,4,2,6,1,1,0,0
Tag Em & Bag Em,G.O.O.D.,Western,7,2,0.778,23.1,3415,3230,185,4,2,3,0,4,1,7,2,1,0,0,0
Miller Time,G.O.O.D.,Western,5,4,0.556,108.9,3968,2988,980,3,2,2,2,2,2,4,4,0,0,0,0
Toshiba Auggie,G.O.O.D.,Western,5,3,0.625,93.4,3247,2593,654,2,2,3,1,2,1,4,3,1,0,0,0
The Big Fellas,G.O.O.D.,Western,3,5,0.375,-173.0,1591,2456,-865,2,3,1,2,2,2,3,5,2,1,0,0
"",,,,,,,,,,,,,,,,,,,,,,
CASH MONEY,,,,,,,,,,,,,,,,,,,,,,
Chaos,Cash Money,Western,1,8,0.111,-169.5,686,1025,-339,1,4,0,4,0,4,1,7,1,6,0,0
Book Masters,Cash Money,Western,2,6,0.25,-147.2,2132,3015,-883,1,4,1,2,1,2,2,5,1,1,0,0
That Couple,Cash Money,Western,4,4,0.5,-66.3,2734,3198,-464,2,2,2,2,1,2,4,3,1,0,0,0
Star Studded,Cash Money,Western,7,2,0.778,-8.1,2918,2975,-57,5,2,2,0,4,1,7,2,2,0,0,0
Hands On Deck,Cash Money,Western,7,2,0.778,139.4,3904,2789,1115,4,0,3,2,3,0,6,1,1,0,0,0
"",,,,,,,,,,,,,,,,,,,,,,
DEATH ROW,,,,,,,,,,,,,,,,,,,,,,
JQ Suited,Death Row,Western,8,0,1.0,231.0,3174,1788,1386,4,0,4,0,4,0,7,0,2,0,0,0
Kimasha,Death Row,Western,3,5,0.375,-107.7,2221,2867,-646,2,3,1,2,2,2,3,5,1,1,0,0
Kingdom Minded,Death Row,Western,0,7,0.0,-317.0,202,519,-317,0,3,0,4,0,4,0,7,0,6,0,0
Blind 7's,Death Row,Western,4,4,0.5,-47.0,2202,2484,-282,2,1,2,3,2,1,4,4,2,0,0,0
Dubs,Death Row,Western,6,5,0.545,49.4,4542,4048,494,4,4,2,1,1,2,5,5,1,0,0,0
"",,,,,,,,,,,,,,,,,,,,,,
BAD BOY,,,,,,,,,,,,,,,,,,,,,,
Shaolin Stars,Bad Boy,Eastern,6,2,0.75,226.8,3929,2115,1814,2,0,4,2,4,0,6,1,0,0,0,0
N.M.O.E,Bad Boy,Eastern,2,6,0.25,-174.1,2321,3540,-1219,0,1,2,5,1,2,2,6,1,0,0,0
Knuck If You Stuck,Bad Boy,Eastern,5,3,0.625,0.7,3182,3177,5,2,2,3,1,2,2,5,3,1,0,0,0
Gerow Animals,Bad Boy,Eastern,7,1,0.875,210.0,3558,2088,1470,4,1,3,0,2,0,7,0,1,0,0,0
Double D's,Bad Boy,Eastern,2,6,0.25,-106.0,3167,3909,-742,1,3,1,3,0,5,2,6,0,1,0,0
"",,,,,,,,,,,,,,,,,,,,,,
STATE PROPERTY,,,,,,,,,,,,,,,,,,,,,,
PG's Finest,State Property,Eastern,1,7,0.125,-178.3,1311,2024,-713,1,3,0,4,0,3,1,6,0,4,0,0
Team Bui,State Property,Eastern,7,1,0.875,242.9,3304,1604,1700,2,0,5,1,4,0,7,1,1,0,0,0
Yonkers Southside,State Property,Eastern,4,4,0.5,-82.5,2312,2807,-495,1,0,3,4,2,1,4,4,1,1,0,0
Ol Dirty,State Property,Eastern,4,4,0.5,-4.1,2848,2881,-33,3,2,1,2,1,3,4,4,0,0,0,0
Harry Potheads,State Property,Eastern,2,6,0.25,-138.1,2895,4000,-1105,0,3,2,3,1,1,2,5,0,0,0,0
"",,,,,,,,,,,,,,,,,,,,,,
SO SO DEF,,,,,,,,,,,,,,,,,,,,,,
Florida Oranges,So So Def,Eastern,4,4,0.5,-171.1,2084,3453,-1369,2,3,2,1,2,2,2,4,0,0,0,0
Twin N Em,So So Def,Eastern,4,5,0.444,-78.9,2629,3181,-552,0,1,4,4,1,3,3,5,0,2,0,0
TNT,So So Def,Eastern,6,3,0.667,185.0,3988,2323,1665,4,1,2,2,5,1,6,2,0,0,0,0
Team Robinson,So So Def,Eastern,4,6,0.4,-146.1,2080,3249,-1169,1,3,3,3,1,3,4,6,2,0,0,0
A Team,So So Def,Eastern,3,4,0.429,77.3,3164,2623,541,0,2,3,2,2,2,2,4,0,0,0,0
